station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
GAZ ,09:03:37.140,09:03:37.200,0.466205,0.477
GAZ ,09:05:23.890,09:05:23.950,0.64608973,0.628
GAZ ,09:05:23.890,09:05:23.950,0.64608973,0.669
GAZ ,09:05:23.890,09:05:23.990,0.64608973,0.67
GAZ ,09:05:23.890,09:05:24.070,0.64608973,0.205
GAZ ,09:05:58.520,09:05:58.530,0.52563375,0.566
GAZ ,09:05:58.520,09:05:58.530,0.52563375,0.673
GAZ ,09:05:58.520,09:05:58.550,0.52563375,0.687
GAZ ,09:08:21.690,09:08:21.710,0.43887025,0.602
GAZ ,09:08:21.690,09:08:21.710,0.43887025,0.651
GAZ ,09:08:21.690,09:08:21.730,0.43887025,0.739
GAZ ,09:09:54.890,09:09:54.910,0.4258838,0.183
GAZ ,09:10:23.370,09:10:23.490,0.49694592,0.623
GAZ ,09:10:23.370,09:10:23.510,0.49694592,0.689
GAZ ,09:10:23.370,09:10:23.510,0.49694592,0.7
GAZ ,09:10:23.370,09:10:23.510,0.49694592,0.71
GAZ ,09:11:49.750,09:11:49.730,0.9366936,0.675
GAZ ,09:11:49.750,09:11:49.790,0.9366936,0.123
GAZ ,09:11:49.750,09:11:49.790,0.9366936,0.654
GAZ ,09:11:49.750,09:11:49.810,0.9366936,0.643
GAZ ,09:11:49.750,09:11:49.990,0.9366936,0.139
GAZ ,09:16:24.320,09:16:24.330,0.964856,0.841
GAZ ,09:16:24.320,09:16:24.330,0.964856,0.831
GAZ ,09:16:24.320,09:16:24.330,0.964856,0.82
GAZ ,09:18:08.860,09:18:08.830,0.96207273,0.712
GAZ ,09:18:08.860,09:18:08.840,0.96207273,0.747
GAZ ,09:18:08.860,09:18:08.870,0.96207273,0.732
GAZ ,09:18:08.860,09:18:09.000,0.96207273,0.711
GAZ ,09:19:55.810,09:19:55.830,0.5952439,0.834
GAZ ,09:19:55.810,09:19:55.830,0.5952439,0.827
GAZ ,09:19:55.810,09:19:55.840,0.5952439,0.845
GAZ ,09:19:55.810,09:19:55.850,0.5952439,0.652
