station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
KOZT,16:59:41.500,16:59:40.930,0.64713544,0.9
KOZT,17:15:59.800,17:15:59.045,0.28052163,0.73
KOZT,17:25:01.200,17:25:01.160,0.36455488,0.9
KOZT,17:31:49.300,17:31:48.915,0.6642637,0.89
KOZT,17:37:41.900,17:37:41.230,0.43581992,0.94
KOZT,17:44:50.000,17:44:49.340,0.29097354,0.88
KOZT,18:24:06.300,18:24:06.705,0.3272015,0.7
KOZT,18:31:39.600,18:31:39.260,0.43561375,0.33
KOZT,19:10:45.600,19:10:45.420,0.79286915,0.55
KOZT,19:16:02.000,19:16:01.300,0.4582713,0.5
KOZT,19:36:11.200,19:36:10.365,0.31740454,0.84
KOZT,19:48:12.900,19:48:12.210,0.3713838,0.41
KOZT,19:49:56.500,19:49:55.855,0.34877476,0.74
KOZT,20:14:25.500,20:14:25.165,0.4194611,0.93
KOZT,20:22:09.100,20:22:08.810,0.66587925,0.44
KOZT,20:38:10.900,20:38:10.980,0.5465301,0.92
KOZT,20:44:14.800,20:44:14.880,0.70732653,0.86
KOZT,20:53:59.100,20:53:58.940,0.42018703,0.88
KOZT,20:58:25.800,20:58:25.005,0.46198678,0.86
KOZT,21:13:18.300,21:13:18.515,0.37707835,0.6
KOZT,21:28:36.200,21:28:35.895,0.438761,0.56
KOZT,21:39:00.900,21:39:01.045,0.7935672,0.93
KOZT,21:41:41.400,21:41:40.835,0.55089736,0.5
KOZT,22:05:03.700,22:05:03.650,0.47837096,0.2
KOZT,22:10:12.900,22:10:13.005,0.37760308,0.93
KOZT,22:21:05.900,22:21:05.400,0.3427698,0.81
KOZT,22:26:44.200,22:26:44.060,0.46960714,0.93
KOZT,22:45:09.800,22:45:09.930,0.40237156,0.85
KOZT,22:55:41.400,22:55:41.565,0.51492083,0.35
KOZT,22:58:10.000,22:58:10.195,0.34620407,0.32
KOZT,23:08:33.900,23:08:34.165,0.328536,0.29
KOZT,23:13:54.600,23:13:54.860,0.28236067,0.88
KRBG,04:24:40.100,04:24:40.005,0.85798275,0.9
LMOS,01:18:30.900,01:18:30.960,0.51179665,0.56
MDNY,03:30:38.400,03:30:38.355,0.48097172,0.71
MDNY,04:24:50.300,04:24:49.585,0.31258157,0.5
MDUB,08:32:09.500,08:32:09.645,0.6788066,0.77
MERS,01:28:50.900,01:28:50.845,0.38841972,0.74
MERS,04:13:34.800,04:13:34.700,0.29091176,0.17
MERS,08:05:03.900,08:05:04.300,0.3373625,0.57
MERS,15:08:52.100,15:08:52.035,0.36984614,0.53
MERS,17:07:19.300,17:07:19.135,0.31003806,0.26
MERS,17:22:38.100,17:22:37.495,0.37801498,0.14
MERS,17:32:05.600,17:32:05.245,0.29103145,0.44
MERS,21:02:33.600,21:02:33.250,0.52936274,0.89
MERS,21:05:48.100,21:05:48.895,0.3608673,0.82
MERS,21:51:50.900,21:51:50.420,0.28938866,0.25
MERS,22:30:15.900,22:30:15.885,0.62375325,0.77
MLAZ,03:33:51.500,03:33:51.260,0.37185344,0.42
MLAZ,05:12:44.900,05:12:44.950,0.7003701,0.94
MLAZ,19:51:40.500,19:51:39.890,0.47793517,0.79
MRMT,04:24:41.100,04:24:40.885,0.48749194,0.77
RSDY,05:02:31.600,05:02:32.475,0.35096845,0.57
RSDY,06:55:42.400,06:55:42.095,0.35213378,0.92
RSDY,07:41:56.300,07:41:56.200,0.3801826,0.27
RSDY,18:04:36.800,18:04:37.030,0.2967239,0.64
SARI,01:28:38.400,01:28:38.135,0.26948953,0.25
SARI,01:52:06.500,01:52:06.145,0.38161767,0.93
SARI,02:02:07.900,02:02:08.840,0.2732544,0.74
SARI,02:23:39.400,02:23:39.230,0.53091526,0.84
SARI,02:34:39.300,02:34:39.280,0.5676405,0.35
SARI,03:12:35.600,03:12:35.115,0.44057494,0.94
SARI,03:18:50.400,03:18:50.435,0.27502847,0.47
SARI,03:49:50.000,03:49:49.295,0.3292202,0.94
SARI,04:01:37.800,04:01:36.885,0.37443343,0.23
SARI,04:40:07.500,04:40:08.025,0.29149634,0.62
SARI,05:08:58.300,05:08:57.940,0.41508126,0.74
SARI,05:22:05.700,05:22:06.240,0.43613127,0.61
SARI,05:25:40.200,05:25:39.690,0.32107437,0.76
SARI,05:30:23.700,05:30:23.105,0.4857829,0.81
SARI,06:26:51.900,06:26:51.765,0.42542338,0.92
SARI,06:52:08.800,06:52:08.275,0.32439733,0.45
SARI,06:55:17.500,06:55:16.865,0.48898512,0.81
SARI,07:12:35.200,07:12:35.165,0.32664597,0.22
SARI,08:09:03.500,08:09:03.710,0.51699024,0.47
SARI,08:26:13.700,08:26:13.920,0.9331242,0.87
SARI,08:42:25.600,08:42:25.005,0.4200434,0.96
SARI,09:10:41.200,09:10:40.610,0.3152649,0.7
SARI,09:12:05.800,09:12:04.930,0.55047184,0.92
SARI,09:24:11.900,09:24:12.125,0.34468877,0.14
SARI,09:36:38.900,09:36:38.905,0.72195965,0.77
SARI,10:09:36.500,10:09:36.200,0.38951868,0.92
SARI,10:22:00.800,10:22:00.900,0.5945319,0.88
SARI,11:05:43.100,11:05:43.010,0.9669083,0.95
SARI,11:39:48.700,11:39:48.830,0.7249511,0.94
SARI,11:44:34.600,11:44:34.095,0.9522144,0.76
SARI,12:07:40.900,12:07:39.975,0.33670047,0.92
SARI,12:21:25.100,12:21:25.005,0.37738398,0.77
SARI,12:45:27.000,12:45:26.960,0.46271232,0.95
SARI,12:48:09.600,12:48:09.920,0.45117822,0.89
SARI,13:03:33.500,13:03:33.930,0.4360085,0.79
SARI,13:17:49.800,13:17:50.120,0.78271854,0.52
SARI,13:21:24.900,13:21:25.305,0.42601076,0.43
SARI,13:58:57.100,13:58:57.045,0.8800878,0.81
SARI,14:48:29.800,14:48:29.720,0.8307253,0.6
SARI,14:59:26.700,14:59:26.640,0.3990313,0.4
SARI,15:01:32.500,15:01:32.190,0.9404077,0.64
SARI,15:10:48.600,15:10:48.590,0.90552163,0.76
SARI,15:41:38.900,15:41:38.840,0.98989344,0.59
SARI,15:56:31.300,15:56:31.085,0.88909954,0.83
SARI,15:58:54.200,15:58:54.075,0.5427652,0.85
SARI,16:10:52.100,16:10:51.675,0.34256765,0.22
SARI,16:13:18.700,16:13:19.075,0.49871576,0.88
SARI,16:22:52.400,16:22:52.300,0.7534648,0.77
SARI,16:25:06.800,16:25:07.270,0.9428704,0.84
SARI,16:46:45.400,16:46:45.505,0.82836175,0.87
SARI,16:59:33.800,16:59:33.365,0.8051979,0.72
SARI,17:10:35.300,17:10:34.535,0.30731162,0.53
SARI,17:16:24.100,17:16:24.060,0.94674385,0.53
SARI,17:26:31.800,17:26:31.760,0.9734644,0.48
SARI,17:33:24.100,17:33:24.850,0.38501096,0.54
SARI,17:37:34.000,17:37:34.475,0.9145621,0.18
