station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
KOZT,19:10:45.300,19:10:45.600,0.79286915
KOZT,19:16:01.600,19:16:02.000,0.4582713
KOZT,19:36:10.730,19:36:11.200,0.31740454
KOZT,19:47:09.770,19:47:10.700,0.3504777
KOZT,19:48:12.200,19:48:12.900,0.3713838
KOZT,19:49:55.710,19:49:56.500,0.34877476
KOZT,20:14:25.330,20:14:25.500,0.4194611
KOZT,20:22:08.800,20:22:09.100,0.66587925
KOZT,20:38:10.960,20:38:10.900,0.5465301
KOZT,20:44:14.760,20:44:14.800,0.70732653
KOZT,20:53:58.880,20:53:59.100,0.42018703
KOZT,20:58:25.010,20:58:25.800,0.46198678
KOZT,21:13:18.030,21:13:18.300,0.37707835
KOZT,21:15:38.380,21:15:39.200,0.28320676
KOZT,21:28:36.070,21:28:36.200,0.438761
KOZT,21:39:01.090,21:39:00.900,0.7935672
KOZT,21:41:40.940,21:41:41.400,0.55089736
KOZT,22:05:03.720,22:05:03.700,0.47837096
KOZT,22:10:13.010,22:10:12.900,0.37760308
KOZT,22:21:05.800,22:21:05.900,0.3427698
KOZT,22:26:44.120,22:26:44.200,0.46960714
KOZT,22:45:09.860,22:45:09.800,0.40237156
KOZT,22:51:31.460,22:51:31.900,0.4804327
KOZT,22:55:41.460,22:55:41.400,0.51492083
KOZT,22:58:10.160,22:58:10.000,0.34620407
KOZT,23:08:34.270,23:08:33.900,0.328536
KOZT,23:13:54.720,23:13:54.600,0.28236067
KRBG,04:24:40.010,04:24:40.100,0.85798275
LICE,02:52:17.300,02:52:17.300,0.91320217
LICE,02:54:05.070,02:54:05.200,0.2712742
LICE,03:22:07.120,03:22:07.100,0.86592424
LICE,07:51:04.210,07:51:04.600,0.29234448
LICE,11:18:29.900,11:18:29.700,0.7814714
LICE,11:28:33.650,11:28:33.600,0.31829086
LICE,14:11:23.550,14:11:24.500,0.35670638
LICE,19:51:30.720,19:51:31.700,0.58887494
LICE,20:53:57.200,20:53:57.300,0.27426404
LICE,23:54:58.550,23:54:58.900,0.7839378
LMOS,01:18:30.930,01:18:30.900,0.51179665
LMOS,20:38:49.440,20:38:48.800,0.53560376
MAZI,01:48:05.640,01:48:04.700,0.3749409
MAZI,05:43:33.390,05:43:32.700,0.2858153
MAZI,09:02:32.760,09:02:33.400,0.32456875
MAZI,09:44:21.260,09:44:20.500,0.3938439
MAZI,13:00:50.560,13:00:51.100,0.27720484
MAZI,15:53:22.050,15:53:21.900,0.3617035
MAZI,18:18:19.780,18:18:20.100,0.37181884
MAZI,20:38:34.980,20:38:35.400,0.53496325
MDNY,03:30:38.400,03:30:38.400,0.48097172
MDNY,04:24:49.770,04:24:50.300,0.31258157
MDUB,08:32:09.650,08:32:09.500,0.6788066
MERS,01:28:50.690,01:28:50.900,0.38841972
MERS,02:31:51.010,02:31:50.500,0.3397178
MERS,02:48:49.450,02:48:49.800,0.38680562
MERS,03:49:19.870,03:49:19.600,0.33259135
MERS,04:13:34.400,04:13:34.800,0.29091176
MERS,04:48:24.580,04:48:24.800,0.5938393
MERS,05:45:21.140,05:45:21.700,0.29860777
MERS,06:38:37.720,06:38:38.000,0.32938004
MERS,06:55:38.460,06:55:38.800,0.28845266
MERS,08:05:04.300,08:05:03.900,0.3373625
MERS,09:24:12.820,09:24:12.800,0.33777195
MERS,12:31:08.850,12:31:09.600,0.36882305
MERS,13:36:34.500,13:36:35.500,0.3108454
MERS,15:08:52.110,15:08:52.100,0.36984614
MERS,15:27:51.000,15:27:50.600,0.40047985
MERS,17:07:19.260,17:07:19.300,0.31003806
MERS,17:22:37.990,17:22:38.100,0.37801498
MERS,17:32:05.210,17:32:05.600,0.29103145
MERS,17:45:09.040,17:45:08.800,0.34431508
MERS,19:11:05.660,19:11:05.500,0.36065271
MERS,20:38:27.510,20:38:27.500,0.3793965
MERS,20:44:35.070,20:44:35.300,0.29501563
MERS,21:02:33.500,21:02:33.600,0.52936274
MERS,21:05:48.790,21:05:48.100,0.3608673
MERS,21:51:50.840,21:51:50.900,0.28938866
MERS,21:58:19.120,21:58:19.200,0.47495484
MERS,22:30:15.770,22:30:15.900,0.62375325
MERS,22:56:02.210,22:56:01.500,0.27267367
MERS,23:50:20.950,23:50:21.200,0.31537777
MLAZ,03:33:51.510,03:33:51.500,0.37185344
MLAZ,05:12:44.900,05:12:44.900,0.7003701
MLAZ,19:51:39.780,19:51:40.500,0.47793517
MRMT,04:24:40.900,04:24:41.100,0.48749194
RSDY,06:49:09.140,06:49:09.200,0.34202906
RSDY,06:55:42.190,06:55:42.400,0.35213378
RSDY,07:41:56.230,07:41:56.300,0.3801826
RSDY,18:04:37.060,18:04:36.800,0.2967239
SARI,01:28:38.270,01:28:38.400,0.26948953
