,file_name,begin_time,phase_time,phase_score,phase_type,station_id
152,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:35:14.090000Z,0.184,S,EDC 
153,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:35:14.030000Z,0.262,S,EDC 
154,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:35:14.090000Z,0.286,S,EDC 
155,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:35:14.090000Z,0.272,S,EDC 
156,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:06.810000Z,0.378,S,EDC 
157,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:06.790000Z,0.745,S,EDC 
158,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:06.790000Z,0.751,S,EDC 
159,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:06.790000Z,0.74,S,EDC 
160,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:09.430000Z,0.711,S,EDC 
161,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:09.440000Z,0.779,S,EDC 
162,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:09.440000Z,0.767,S,EDC 
163,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:09.440000Z,0.751,S,EDC 
164,EDC _20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:39:09.440000Z,0.797,S,EDC 
164,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:56.010000Z,0.26,P,GEDZ
165,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:08.000000Z,0.36,P,GEDZ
166,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:16.000000Z,0.486,P,GEDZ
167,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:32.010000Z,0.242,P,GEDZ
168,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:44.010000Z,0.388,P,GEDZ
169,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:52.000000Z,0.48,P,GEDZ
171,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:15.510000Z,0.165,S,GEDZ
172,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:34.500000Z,0.288,S,GEDZ
173,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:34.530000Z,0.612,S,GEDZ
174,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:34.590000Z,0.222,S,GEDZ
175,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:57.330000Z,0.126,S,GEDZ
176,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:57.370000Z,0.125,S,GEDZ
177,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:57.330000Z,0.37,S,GEDZ
178,GEDZ_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:57.350000Z,0.185,S,GEDZ
178,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:10.000000Z,0.35,P,GEML
179,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:22:07.400000Z,0.1,P,GEML
180,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:42:22.000000Z,0.22,P,GEML
